case_title,case_id,transaction_idhmcts,venue,jurisdiction,service,case_type,hearing_type,priority,status,ticket_type,waiting_time,reason,duration,hearing_channel,private_hearing,listing_team
PERF0001,PERF-0001,PERF0001,Manchester,FAM,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0002,PERF-0002,PERF0002,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0003,PERF-0003,PERF0003,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0004,PERF-0004,PERF0004,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0005,PERF-0005,PERF0005,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0006,PERF-0006,PERF0006,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0007,PERF-0007,PERF0007,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0008,PERF-0008,PERF0008,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0009,PERF-0009,PERF0009,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0010,PERF-0010,PERF0010,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0011,PERF-0011,PERF0011,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0012,PERF-0012,PERF0012,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0013,PERF-0013,PERF0013,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0014,PERF-0014,PERF0014,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0015,PERF-0015,PERF0015,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0016,PERF-0016,PERF0016,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0017,PERF-0017,PERF0017,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0018,PERF-0018,PERF0018,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0019,PERF-0019,PERF0019,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0020,PERF-0020,PERF0020,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0021,PERF-0021,PERF0021,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0022,PERF-0022,PERF0022,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0023,PERF-0023,PERF0023,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0024,PERF-0024,PERF0024,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0025,PERF-0025,PERF0025,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0026,PERF-0026,PERF0026,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0027,PERF-0027,PERF0027,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0028,PERF-0028,PERF0028,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0029,PERF-0029,PERF0029,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0030,PERF-0030,PERF0030,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0031,PERF-0031,PERF0031,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0032,PERF-0032,PERF0032,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0033,PERF-0033,PERF0033,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0034,PERF-0034,PERF0034,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0035,PERF-0035,PERF0035,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0036,PERF-0036,PERF0036,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0037,PERF-0037,PERF0037,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0038,PERF-0038,PERF0038,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0039,PERF-0039,PERF0039,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0040,PERF-0040,PERF0040,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0041,PERF-0041,PERF0041,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0042,PERF-0042,PERF0042,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0043,PERF-0043,PERF0043,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0044,PERF-0044,PERF0044,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0045,PERF-0045,PERF0045,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0046,PERF-0046,PERF0046,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0047,PERF-0047,PERF0047,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0048,PERF-0048,PERF0048,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0049,PERF-0049,PERF0049,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0050,PERF-0050,PERF0050,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0051,PERF-0051,PERF0051,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0052,PERF-0052,PERF0052,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0053,PERF-0053,PERF0053,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0054,PERF-0054,PERF0054,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0055,PERF-0055,PERF0055,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0056,PERF-0056,PERF0056,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0057,PERF-0057,PERF0057,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0058,PERF-0058,PERF0058,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0059,PERF-0059,PERF0059,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0060,PERF-0060,PERF0060,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0061,PERF-0061,PERF0061,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0062,PERF-0062,PERF0062,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0063,PERF-0063,PERF0063,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0064,PERF-0064,PERF0064,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0065,PERF-0065,PERF0065,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0066,PERF-0066,PERF0066,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0067,PERF-0067,PERF0067,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0068,PERF-0068,PERF0068,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0069,PERF-0069,PERF0069,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0070,PERF-0070,PERF0070,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0071,PERF-0071,PERF0071,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0072,PERF-0072,PERF0072,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0073,PERF-0073,PERF0073,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0074,PERF-0074,PERF0074,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0075,PERF-0075,PERF0075,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0076,PERF-0076,PERF0076,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0077,PERF-0077,PERF0077,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0078,PERF-0078,PERF0078,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0079,PERF-0079,PERF0079,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0080,PERF-0080,PERF0080,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0081,PERF-0081,PERF0081,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0082,PERF-0082,PERF0082,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0083,PERF-0083,PERF0083,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0084,PERF-0084,PERF0084,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0085,PERF-0085,PERF0085,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
PERF0086,PERF-0086,PERF0086,Manchester,String,CFT,THEFT,Civil,High,String,String,55,String,30,Online Streaming,TRUE,Team A
